日付,開催,天 気,R,レース名,映 像,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,水分量,馬 場,馬場 指数,タイム,着差,ﾀｲﾑ 指数,通過,ペース,上り,馬体重,厩舎 ｺﾒﾝﾄ,備考,勝ち馬 (2着馬),賞金,horse_id
2025/10/05,パリロンシャン,,5.0,凱旋門賞(GI),,,,15,6.2,3,14,北村友一,56.5,芝2400,,重,,,,,,,,計不,,,,,2022105102
2025/09/14,パリロンシャン,,,プランスドランジュ賞(GIII),,7.0,,3,,1,1,北村友一,58.0,芝2000,,重,,2:11.69,,,,,,計不,,,(),,2022105102
2025/06/01,2東京12,晴,11.0,東京優駿(GI),,18.0,7.0,13,2.1,1,1,北村友一,57.0,芝2400,,良,**,2:23.7,-0.1,**,4-3-2-3,35.7-34.8,34.2,504(+4),,,(マスカレードボール),32771.3,2022105102
2025/04/20,3中山8,曇,11.0,皐月賞(GI),,18.0,5.0,10,1.5,1,2,北村友一,57.0,芝2000,,良,**,1:57.3,0.3,**,4-4-6-2,34.5-34.8,34.7,500(+4),,,ミュージアムマイル,8798.4,2022105102
2024/12/28,5中山9,晴,11.0,ホープフルS(GI),,18.0,3.0,6,1.8,1,1,北村友一,56.0,芝2000,,良,**,2:00.5,-0.3,**,7-7-4-3,36.0-35.5,34.9,496(-8),,,(ジョバンニ),7127.4,2022105102
2024/11/16,5東京5,曇,11.0,東京スポーツ杯2歳S(GII),,9.0,4.0,4,2.2,1,1,北村友一,56.0,芝1800,,良,**,1:46.8,-0.1,**,3-3-2,36.1-33.4,33.3,504(+24),,,(サトノシャイニング),3831.5,2022105102
2024/06/09,3東京4,曇,5.0,2歳新馬,,11.0,6.0,6,6.1,3,1,北村友一,55.0,芝1800,,良,**,1:46.7,-0.4,**,2-2-2,36.9-33.9,33.8,480(0),,,(アルレッキーノ),720.0,2022105102
